SME_ID,Timestamp,Credit_Score,Risk_Label,SHAP_Top3,Confidence,True_Label,Predicted
SME_00146,2026-06-10T05:56:03.795801,0.8648,Normal,"{""document_completeness_score"": -1.234, ""net_profit_margin"": 0.805, ""repayment_delay_days"": 0.6938}",0.7296,0,1
SME_00147,2026-06-10T05:56:03.795801,0.852,Normal,"{""net_profit_margin"": 0.7844, ""existing_debt_ratio"": 0.5117, ""repayment_delay_days"": 0.5086}",0.7041,1,1
SME_00148,2026-06-10T05:56:03.795801,0.3336,Critical,"{""document_completeness_score"": 1.6004, ""repayment_delay_days"": -1.2302, ""net_profit_margin"": -0.7459}",0.3328,1,0
SME_00149,2026-06-10T05:56:03.795801,0.792,Normal,"{""document_completeness_score"": 0.9687, ""repayment_delay_days"": 0.4512, ""existing_debt_ratio"": 0.3351}",0.584,1,1
SME_00150,2026-06-10T05:56:03.795801,0.9706,Normal,"{""document_completeness_score"": 1.3207, ""bank_statement_consistency"": 1.06, ""existing_debt_ratio"": 0.6779}",0.9412,1,1
SME_00151,2026-06-10T05:56:03.795801,0.0069,Critical,"{""repayment_delay_days"": -1.5876, ""existing_debt_ratio"": -1.0402, ""net_profit_margin"": -0.9428}",0.9861,0,0
SME_00152,2026-06-10T05:56:03.795801,0.0047,Critical,"{""repayment_delay_days"": -1.5478, ""existing_debt_ratio"": -1.0718, ""net_profit_margin"": -0.9766}",0.9905,0,0
SME_00153,2026-06-10T05:56:03.795801,0.4778,Warning,"{""net_profit_margin"": -0.8418, ""cash_flow_stability"": -0.8405, ""existing_debt_ratio"": 0.5602}",0.0444,1,0
SME_00154,2026-06-10T05:56:03.795801,0.92,Normal,"{""repayment_delay_days"": 0.7235, ""bank_statement_consistency"": 0.6814, ""previously_raised_fund"": -0.5446}",0.84,1,1
SME_00155,2026-06-10T05:56:03.795801,0.9785,Normal,"{""document_completeness_score"": 1.1741, ""bank_statement_consistency"": 1.0888, ""existing_debt_ratio"": 0.7168}",0.957,1,1
SME_00156,2026-06-10T05:56:03.795801,0.9615,Normal,"{""repayment_delay_days"": 0.8279, ""bank_statement_consistency"": 0.7855, ""net_profit_margin"": 0.7653}",0.923,1,1
SME_00157,2026-06-10T05:56:03.795801,0.0219,Critical,"{""repayment_delay_days"": -1.5381, ""net_profit_margin"": -1.0557, ""bank_statement_consistency"": -0.6458}",0.9562,0,0
SME_00158,2026-06-10T05:56:03.795801,0.9525,Normal,"{""net_profit_margin"": 0.7126, ""existing_debt_ratio"": 0.5526, ""repayment_delay_days"": 0.5181}",0.9049,1,1
SME_00159,2026-06-10T05:56:03.795801,0.0055,Critical,"{""repayment_delay_days"": -1.5062, ""existing_debt_ratio"": -0.9833, ""net_profit_margin"": -0.9386}",0.989,0,0
SME_00160,2026-06-10T05:56:03.795801,0.0166,Critical,"{""existing_debt_ratio"": -1.0994, ""repayment_delay_days"": -0.9748, ""net_profit_margin"": -0.8979}",0.9667,0,0
