businessID,anomalyFlag,riskScore,defaultProbability
SME_00736,1,3.71,0.03710000000000002
SME_00737,0,38.24,0.38239999999999996
SME_00738,1,18.38,0.18379999999999996
SME_00739,0,56.57,0.5657
SME_00740,0,34.96,0.3496
SME_00741,1,44.61,0.44610000000000005
SME_00742,0,60.26,0.6026
SME_00743,1,72.06,0.7206
SME_00744,1,52.45,0.5245
SME_00745,0,47.91,0.47909999999999997
SME_00746,0,24.2,0.242
SME_00747,0,63.02,0.6302
SME_00748,1,74.55,0.7455
SME_00749,1,8.72,0.08720000000000006
SME_00750,1,16.44,0.1644
SME_00751,1,61.42,0.6142000000000001
SME_00752,0,52.12,0.5212
SME_00753,0,21.89,0.21889999999999998
SME_00754,0,27.37,0.27370000000000005
SME_00755,1,11.17,0.11170000000000002
SME_00756,0,33.35,0.3335
SME_00757,0,48.4,0.484
SME_00758,0,41.05,0.4105
SME_00759,0,55.63,0.5563
SME_00760,1,63.86,0.6386000000000001
SME_00761,0,17.32,0.17320000000000002
SME_00762,0,41.17,0.41169999999999995
SME_00763,0,50.71,0.5071
SME_00764,0,45.8,0.45799999999999996
SME_00765,0,42.35,0.4235
SME_00766,0,62.98,0.6298
SME_00767,0,45.84,0.45840000000000003
SME_00768,0,34.39,0.3439
SME_00769,0,29.47,0.29469999999999996
SME_00770,0,58.66,0.5866
SME_00771,0,27.87,0.27869999999999995
SME_00772,0,39.83,0.3983
SME_00773,0,19.58,0.19579999999999997
SME_00774,0,28.19,0.28190000000000004
SME_00775,0,25.46,0.25460000000000005
SME_00776,0,19.92,0.19920000000000004
SME_00777,0,21.77,0.2177
SME_00778,0,44.17,0.4417
SME_00779,0,26.75,0.26749999999999996
SME_00780,1,49.99,0.4999
SME_00781,0,43.8,0.43799999999999994
SME_00782,0,45.9,0.45899999999999996
SME_00783,0,56.93,0.5692999999999999
SME_00784,1,43.86,0.4386
SME_00785,0,54.57,0.5457000000000001
SME_00786,0,41.11,0.4111
SME_00787,1,22.52,0.22519999999999996
SME_00788,0,47.88,0.4788
SME_00789,0,16.11,0.16110000000000002
SME_00790,0,62.33,0.6233
SME_00791,0,37.69,0.3769
SME_00792,1,71.76,0.7176
SME_00793,0,18.25,0.1825
SME_00794,0,31.32,0.31320000000000003
SME_00795,0,15.58,0.15580000000000005
SME_00796,0,38.43,0.3843
SME_00797,0,45.43,0.45430000000000004
SME_00798,1,30.45,0.3045
SME_00799,0,46.43,0.46430000000000005
SME_00800,1,19.51,0.19510000000000005
